section,material,unit,quantity,emission_factor,emission_factor_unit,ghg_emission,location,start_date,end_date
Pellet Plant,Anthracite Coal,tonnes,136843.66,1.044,tCO2/t,142864.781,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Iron Scrap,tonnes,399043.61,2.849,tCO2/KL,1136875.245,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Petroleum Coke,tonnes,92899.41,1.39,tCO2/KL,129130.1799,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Bituminous Coal,tonnes,476400.55,3.084,tCO2/KL,1469219.296,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Calcined Petroleum Coke,tonnes,343775.39,2.036,tCO2/t,699926.694,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Limestone,tonnes,107832.29,3.087,tCO2/t,332878.2792,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Natural Gas,kNm3,47369055.82,2.425,tCO2/t,114869960.4,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Fuel Oil,KL,7311.25,2.539,tCO2/t,18563.26375,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,Diesel,KL,2546.88,1.757,tCO2/t,4474.86816,Central Steel Plant,01-01-2006,31-03-2006
Pellet Plant,LPG,tonnes,106734.66,3.346,tCO2/t,357134.1724,Central Steel Plant,01-01-2006,31-03-2006
DRI,Kerosene,KL,5186.83,2.255,tCO2/KL,11696.30165,Central Steel Plant,01-01-2006,31-03-2006
DRI,Low Carbon Steel,tonnes,12928.79,1.486,tCO2/t,19212.18194,Central Steel Plant,01-01-2006,31-03-2006
DRI,Ferrochrome,tonnes,103814.29,2.124,tCO2/Nm3,220501.552,Central Steel Plant,01-01-2006,31-03-2006
DRI,Ferro Manganese,tonnes,212400.27,0.071,tCO2/Nm3,15080.41917,Central Steel Plant,01-01-2006,31-03-2006
DRI,Ferro Silicon,tonnes,187147.57,1.058,tCO2/KL,198002.1291,Central Steel Plant,01-01-2006,31-03-2006
DRI,Silico Manganese,tonnes,231841.35,2.312,tCO2/KL,536017.2012,Central Steel Plant,01-01-2006,31-03-2006
DRI,Coke Oven Gas,kNm3,13888659.03,1.018,tCO2/KL,14138654.89,Central Steel Plant,01-01-2006,31-03-2006
DRI,Blast Furnace Gas,kNm3,29343349.48,2.165,tCO2/Nm3,63528351.62,Central Steel Plant,01-01-2006,31-03-2006
DRI,BOF Gas,kNm3,43194141.74,1.503,tCO2/KL,64920795.04,Central Steel Plant,01-01-2006,31-03-2006
DRI,Coal Tar,tonnes,58854.17,0.478,tCO2/KL,28132.29326,Central Steel Plant,01-01-2006,31-03-2006
DRI,Pitch,tonnes,258737.82,1.047,tCO2/t,270898.4975,Central Steel Plant,01-01-2006,31-03-2006
DRI,EAF Electrodes,tonnes,66120.85,1.997,tCO2/KL,132043.3375,Central Steel Plant,01-01-2006,31-03-2006
DRI,Dolomite,tonnes,358458.15,2.07,tCO2/Nm3,742008.3705,Central Steel Plant,01-01-2006,31-03-2006
DRI,Crude Dolomite,tonnes,198090.25,2.012,tCO2/KL,398557.583,Central Steel Plant,01-01-2006,31-03-2006
DRI,HFO,KL,5658.56,2.288,tCO2/KL,12946.78528,Central Steel Plant,01-01-2006,31-03-2006
